team_id,team_name,team_location
1,New Jersey Devils,New Jersey
2,New York Islanders,New York
3,New York Rangers,New York
4,Philadelphia Flyers,Philadelphia
5,Pittsburgh Penguins,Pittsburgh
6,Boston Bruins,Boston
7,Buffalo Sabres,Buffalo
8,Montréal Canadiens,Montréal
9,Ottawa Senators,Ottawa
10,Toronto Maple Leafs,Toronto
12,Carolina Hurricanes,Carolina
13,Florida Panthers,Florida
14,Tampa Bay Lightning,Tampa Bay
15,Washington Capitals,Washington
16,Chicago Blackhawks,Chicago
17,Detroit Red Wings,Detroit
18,Nashville Predators,Nashville
19,St. Louis Blues,St. Louis
20,Calgary Flames,Calgary
21,Colorado Avalanche,Colorado
22,Edmonton Oilers,Edmonton
23,Vancouver Canucks,Vancouver
24,Anaheim Ducks,Anaheim
25,Dallas Stars,Dallas
26,Los Angeles Kings,Los Angeles
28,San Jose Sharks,San Jose
29,Columbus Blue Jackets,Columbus
30,Minnesota Wild,Minnesota
52,Winnipeg Jets,Winnipeg
53,Arizona Coyotes,Arizona
54,Vegas Golden Knights,Vegas
55,Seattle Kraken,Seattle
